"question","traitScores","famille"
"J'aime résoudre des problèmes techniques et logiques.","{""R"":3,""I"":2,""A"":0,""S"":0,""E"":1,""C"":0}","Personnalite"
"Je préfère travailler avec des idées abstraites plutôt qu'avec des objets concrets.","{""R"":1,""I"":3,""A"":2,""S"":0,""E"":0,""C"":0}","Personnalite"
"Je suis attiré par les activités artistiques comme la peinture ou la musique.","{""R"":0,""I"":1,""A"":3,""S"":0,""E"":1,""C"":0}","Personnalite"
"J'aime aider les autres et travailler dans un environnement collaboratif.","{""R"":0,""I"":0,""A"":1,""S"":3,""E"":2,""C"":0}","Personnalite"
"Je suis motivé par des défis commerciaux et la prise de risques.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":2}","Personnalite"
"Je préfère les tâches qui demandent organisation et rigueur.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"J'aime analyser des données et trouver des solutions précises.","{""R"":3,""I"":2,""A"":0,""S"":0,""E"":0,""C"":1}","Personnalite"
"Je préfère travailler avec des machines plutôt qu'avec des gens.","{""R"":3,""I"":1,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime comprendre comment les choses fonctionnent scientifiquement.","{""R"":1,""I"":3,""A"":0,""S"":0,""E"":0,""C"":1}","Personnalite"
"Créer des œuvres originales est important pour moi.","{""R"":0,""I"":1,""A"":3,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime enseigner ou conseiller les autres.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":1,""C"":0}","Personnalite"
"Je prends facilement des initiatives et aime diriger.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":3,""C"":1}","Personnalite"
"Je préfère un travail structuré avec des règles claires.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"Réparer des objets mécaniques me satisfait.","{""R"":3,""I"":1,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime faire des recherches théoriques.","{""R"":0,""I"":3,""A"":1,""S"":0,""E"":0,""C"":0}","Personnalite"
"Exprimer mes émotions à travers l'art est important pour moi.","{""R"":0,""I"":0,""A"":3,""S"":1,""E"":0,""C"":0}","Personnalite"
"Aider les personnes en difficulté me motive.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":1,""C"":0}","Personnalite"
"Je suis à l'aise pour convaincre et négocier.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":1}","Personnalite"
"J'aime classer et archiver des informations.","{""R"":0,""I"":0,""A"":0,""S"":1,""E"":0,""C"":3}","Personnalite"
"Travailler en extérieur me convient mieux qu'au bureau.","{""R"":3,""I"":0,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"Résoudre des énigmes mathématiques est stimulant pour moi.","{""R"":1,""I"":3,""A"":0,""S"":0,""E"":0,""C"":1}","Personnalite"
"J'apprécie les activités qui demandent de l'imagination.","{""R"":0,""I"":1,""A"":3,""S"":0,""E"":0,""C"":0}","Personnalite"
"Travailler dans le social me semble gratifiant.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":0,""C"":0}","Personnalite"
"Je préfère les postes avec responsabilités et pouvoir décisionnel.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":1}","Personnalite"
"Je suis minutieux et précis dans mon travail.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":0,""C"":3}","Personnalite"
"Manipuler des outils me vient naturellement.","{""R"":3,""I"":0,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"Lire des ouvrages scientifiques m'intéresse.","{""R"":0,""I"":3,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime expérimenter de nouvelles formes d'expression.","{""R"":0,""I"":0,""A"":3,""S"":0,""E"":0,""C"":0}","Personnalite"
"Écouter et conseiller les autres est important pour moi.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":0,""C"":0}","Personnalite"
"Je sais vendre des produits ou des idées.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":0}","Personnalite"
"Respecter les procédures est essentiel dans mon travail.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":0,""C"":3}","Personnalite"
"Je préfère les travaux manuels aux travaux intellectuels.","{""R"":3,""I"":0,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"Observer des phénomènes naturels m'intrigue.","{""R"":0,""I"":3,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'aime assister à des spectacles artistiques.","{""R"":0,""I"":0,""A"":3,""S"":0,""E"":0,""C"":0}","Personnalite"
"Travailler dans le domaine de la santé m'attire.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":0,""C"":1}","Personnalite"
"Je prends des risques calculés pour atteindre mes objectifs.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":0}","Personnalite"
"Tenir des registres précis ne me dérange pas.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":0,""C"":3}","Personnalite"
"J'aime bricoler et faire des constructions.","{""R"":3,""I"":0,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"Résoudre des problèmes complexes me stimule intellectuellement.","{""R"":1,""I"":3,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"Je préfère les métiers créatifs aux métiers techniques.","{""R"":0,""I"":1,""A"":3,""S"":0,""E"":0,""C"":0}","Personnalite"
"Travailler avec des enfants ou personnes âgées me plairait.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":0,""C"":0}","Personnalite"
"Je suis à l'aise pour prendre la parole en public.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":0}","Personnalite"
"J'aime que tout soit bien rangé et organisé.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":0,""C"":3}","Personnalite"
"Utiliser des outils technologiques me passionne.","{""R"":3,""I"":1,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"Je passe du temps à réfléchir à des questions philosophiques.","{""R"":0,""I"":3,""A"":1,""S"":0,""E"":0,""C"":0}","Personnalite"
"J'apprécie les métiers où je peux exprimer ma sensibilité.","{""R"":0,""I"":0,""A"":3,""S"":0,""E"":0,""C"":0}","Personnalite"
"Je me sens bien quand je peux rendre service.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":0,""C"":0}","Personnalite"
"Je préfère les postes avec des objectifs de performance.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":0}","Personnalite"
"Suivre des instructions précises ne me pose pas problème.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":0,""C"":3}","Personnalite"
"J'aime travailler de mes mains plutôt qu'au bureau.","{""R"":3,""I"":0,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"Étudier des phénomènes naturels ou sociaux m'intéresse.","{""R"":0,""I"":3,""A"":0,""S"":0,""E"":0,""C"":0}","Personnalite"
"Je préfère les activités qui laissent place à l'interprétation.","{""R"":0,""I"":0,""A"":3,""S"":0,""E"":0,""C"":0}","Personnalite"
"Travailler dans l'humanitaire me semble valorisant.","{""R"":0,""I"":0,""A"":0,""S"":3,""E"":0,""C"":0}","Personnalite"
"Je suis à l'aise pour motiver une équipe.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":3,""C"":0}","Personnalite"
"J'aime les tâches administratives bien définies.","{""R"":0,""I"":0,""A"":0,""S"":0,""E"":0,""C"":3}","Personnalite"